Indicator,Location,Coverage_Type,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,Uninsured,Native Hawaiian and Other Pacific Islander,2011,Percent,0.16504,0.020679
US,United States,Uninsured,Native Hawaiian and Other Pacific Islander,2011,Number,74945,NA
US,United States,Employer,Other / Multiple Races,2011,Percent,0.52788,0.007316
US,United States,Employer,Other / Multiple Races,2011,Number,3635319,NA
US,United States,Individual,Other / Multiple Races,2011,Percent,0.04704,0.002697
US,United States,Individual,Other / Multiple Races,2011,Number,323928,NA
US,United States,Insured,Other / Multiple Races,2011,Number,5947893,NA
US,United States,Insured,Other / Multiple Races,2011,Percent,0.86368,0.004739
US,United States,Medicaid/CHIP,Other / Multiple Races,2011,Percent,0.22205,0.006435
US,United States,Medicaid/CHIP,Other / Multiple Races,2011,Number,1529170,NA
US,United States,Medicare,Other / Multiple Races,2011,Percent,0.06672,0.002497
US,United States,Medicare,Other / Multiple Races,2011,Number,459476,NA
US,United States,Private,Other / Multiple Races,2011,Percent,0.57491,0.007311
US,United States,Private,Other / Multiple Races,2011,Number,3959247,NA
US,United States,Public,Other / Multiple Races,2011,Percent,0.28877,0.006601
US,United States,Public,Other / Multiple Races,2011,Number,1988646,NA
US,United States,Uninsured,Other / Multiple Races,2011,Number,938811,NA
US,United States,Uninsured,Other / Multiple Races,2011,Percent,0.13632,0.004739
US,United States,Employer,White,2011,Percent,0.56902,0.001342
US,United States,Employer,White,2011,Number,111000000,NA
US,United States,Individual,White,2011,Percent,0.06111,6.19e-4
US,United States,Individual,White,2011,Number,11915308,NA
US,United States,Insured,White,2011,Percent,0.89373,8.18e-4
US,United States,Insured,White,2011,Number,174300000,NA
US,United States,Medicaid/CHIP,White,2011,Number,15612788,NA
US,United States,Medicaid/CHIP,White,2011,Percent,0.08007,8.12e-4
US,United States,Medicare,White,2011,Percent,0.18353,8.25e-4
US,United States,Medicare,White,2011,Number,35788083,NA
US,United States,Private,White,2011,Percent,0.63013,0.001291
US,United States,Private,White,2011,Number,122900000,NA
US,United States,Public,White,2011,Number,51400871,NA
US,United States,Public,White,2011,Percent,0.2636,0.001073
US,United States,Uninsured,White,2011,Percent,0.10627,8.18e-4
US,United States,Uninsured,White,2011,Number,20722681,NA
US,United States,Employer,African-American / Black,2012,Percent,0.43209,0.002501
US,United States,Employer,African-American / Black,2012,Number,16161765,NA
US,United States,Individual,African-American / Black,2012,Number,999033,NA
US,United States,Individual,African-American / Black,2012,Percent,0.02671,8.96e-4
US,United States,Insured,African-American / Black,2012,Percent,0.82893,0.00195
US,United States,Insured,African-American / Black,2012,Number,31005157,NA
US,United States,Medicaid/CHIP,African-American / Black,2012,Percent,0.24554,0.002245
US,United States,Medicaid/CHIP,African-American / Black,2012,Number,9184057,NA
US,United States,Medicare,African-American / Black,2012,Percent,0.12459,0.00104
US,United States,Medicare,African-American / Black,2012,Number,4660302,NA
US,United States,Private,African-American / Black,2012,Number,17160798,NA
US,United States,Private,African-American / Black,2012,Percent,0.4588,0.002513
US,United States,Public,African-American / Black,2012,Percent,0.37013,0.002219
US,United States,Public,African-American / Black,2012,Number,13844359,NA
US,United States,Uninsured,African-American / Black,2012,Number,6398892,NA
US,United States,Uninsured,African-American / Black,2012,Percent,0.17107,0.00195
US,United States,Employer,American Indian / Alaska Native,2012,Number,716541,NA
US,United States,Employer,American Indian / Alaska Native,2012,Percent,0.34937,0.010511
US,United States,Individual,American Indian / Alaska Native,2012,Number,46772,NA
US,United States,Individual,American Indian / Alaska Native,2012,Percent,0.0228,0.002685
US,United States,Insured,American Indian / Alaska Native,2012,Number,1486036,NA
US,United States,Insured,American Indian / Alaska Native,2012,Percent,0.72456,0.009155
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2012,Percent,0.23315,0.009525
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2012,Number,478190,NA
US,United States,Medicare,American Indian / Alaska Native,2012,Percent,0.11923,0.004615
US,United States,Medicare,American Indian / Alaska Native,2012,Number,244533,NA
US,United States,Private,American Indian / Alaska Native,2012,Number,763313,NA
US,United States,Private,American Indian / Alaska Native,2012,Percent,0.37217,0.010637
US,United States,Public,American Indian / Alaska Native,2012,Number,722723,NA
US,United States,Public,American Indian / Alaska Native,2012,Percent,0.35238,0.01003
US,United States,Uninsured,American Indian / Alaska Native,2012,Number,564918,NA
US,United States,Uninsured,American Indian / Alaska Native,2012,Percent,0.27544,0.009155
US,United States,Employer,Asian,2012,Percent,0.56024,0.003913
US,United States,Employer,Asian,2012,Number,8592696,NA
US,United States,Individual,Asian,2012,Number,1362186,NA
US,United States,Individual,Asian,2012,Percent,0.08881,0.002133
US,United States,Insured,Asian,2012,Number,13050756,NA
US,United States,Insured,Asian,2012,Percent,0.8509,0.002999
US,United States,Medicaid/CHIP,Asian,2012,Percent,0.09936,0.002927
US,United States,Medicaid/CHIP,Asian,2012,Number,1523931,NA
US,United States,Medicare,Asian,2012,Percent,0.10249,0.00139
US,United States,Medicare,Asian,2012,Number,1571943,NA
US,United States,Private,Asian,2012,Number,9954882,NA
US,United States,Private,Asian,2012,Percent,0.64905,0.004019
US,United States,Public,Asian,2012,Percent,0.20185,0.003045
US,United States,Public,Asian,2012,Number,3095874,NA
US,United States,Uninsured,Asian,2012,Percent,0.1491,0.002999
US,United States,Uninsured,Asian,2012,Number,2286781,NA
US,United States,Employer,Hispanic / Latino,2012,Percent,0.3679,0.002917
US,United States,Employer,Hispanic / Latino,2012,Number,19260598,NA
US,United States,Individual,Hispanic / Latino,2012,Percent,0.02918,9.07e-4
US,United States,Individual,Hispanic / Latino,2012,Number,1527852,NA
US,United States,Insured,Hispanic / Latino,2012,Number,37288329,NA
US,United States,Insured,Hispanic / Latino,2012,Percent,0.71225,0.002731
US,United States,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.24619,0.001967
US,United States,Medicaid/CHIP,Hispanic / Latino,2012,Number,12888931,NA
US,United States,Medicare,Hispanic / Latino,2012,Percent,0.06897,6.98e-4
US,United States,Medicare,Hispanic / Latino,2012,Number,3610948,NA
US,United States,Private,Hispanic / Latino,2012,Percent,0.39708,0.00314
US,United States,Private,Hispanic / Latino,2012,Number,20788450,NA
US,United States,Public,Hispanic / Latino,2012,Number,16499879,NA
US,United States,Public,Hispanic / Latino,2012,Percent,0.31516,0.001994
US,United States,Uninsured,Hispanic / Latino,2012,Number,15064818,NA
US,United States,Uninsured,Hispanic / Latino,2012,Percent,0.28775,0.002731
US,United States,Employer,Native Hawaiian and Other Pacific Islander,2012,Number,242281,NA
US,United States,Employer,Native Hawaiian and Other Pacific Islander,2012,Percent,0.5021,0.025685
US,United States,Individual,Native Hawaiian and Other Pacific Islander,2012,Percent,0.0297,0.005678
US,United States,Individual,Native Hawaiian and Other Pacific Islander,2012,Number,14330,NA
US,United States,Insured,Native Hawaiian and Other Pacific Islander,2012,Percent,0.82942,0.016866
US,United States,Insured,Native Hawaiian and Other Pacific Islander,2012,Number,400227,NA
US,United States,Medicaid/CHIP,Native Hawaiian and Other Pacific Islander,2012,Number,102174,NA
US,United States,Medicaid/CHIP,Native Hawaiian and Other Pacific Islander,2012,Percent,0.21174,0.022724
US,United States,Medicare,Native Hawaiian and Other Pacific Islander,2012,Percent,0.08588,0.010501
US,United States,Medicare,Native Hawaiian and Other Pacific Islander,2012,Number,41442,NA
US,United States,Private,Native Hawaiian and Other Pacific Islander,2012,Number,256611,NA
US,United States,Private,Native Hawaiian and Other Pacific Islander,2012,Percent,0.5318,0.02597
US,United States,Public,Native Hawaiian and Other Pacific Islander,2012,Percent,0.29763,0.02179
US,United States,Public,Native Hawaiian and Other Pacific Islander,2012,Number,143616,NA
US,United States,Uninsured,Native Hawaiian and Other Pacific Islander,2012,Number,82310,NA
US,United States,Uninsured,Native Hawaiian and Other Pacific Islander,2012,Percent,0.17058,0.016866
US,United States,Employer,Other / Multiple Races,2012,Number,3763797,NA
US,United States,Employer,Other / Multiple Races,2012,Percent,0.52975,0.006348
US,United States,Individual,Other / Multiple Races,2012,Percent,0.05195,0.002298
US,United States,Individual,Other / Multiple Races,2012,Number,369116,NA
US,United States,Insured,Other / Multiple Races,2012,Percent,0.86963,0.003881
US,United States,Insured,Other / Multiple Races,2012,Number,6178581,NA
US,United States,Medicaid/CHIP,Other / Multiple Races,2012,Number,1555212,NA
US,United States,Medicaid/CHIP,Other / Multiple Races,2012,Percent,0.21889,0.004706
US,United States,Medicare,Other / Multiple Races,2012,Number,490456,NA
US,United States,Medicare,Other / Multiple Races,2012,Percent,0.06903,0.002281
US,United States,Private,Other / Multiple Races,2012,Percent,0.5817,0.006247
US,United States,Private,Other / Multiple Races,2012,Number,4132913,NA
US,United States,Public,Other / Multiple Races,2012,Percent,0.28793,0.004974
US,United States,Public,Other / Multiple Races,2012,Number,2045668,NA
US,United States,Uninsured,Other / Multiple Races,2012,Percent,0.13037,0.003881
US,United States,Uninsured,Other / Multiple Races,2012,Number,926263,NA
US,United States,Employer,White,2012,Percent,0.56621,0.001106
US,United States,Employer,White,2012,Number,110500000,NA
US,United States,Individual,White,2012,Percent,0.06049,6.55e-4
US,United States,Individual,White,2012,Number,11808015,NA
US,United States,Insured,White,2012,Percent,0.89682,9.12e-4
US,United States,Insured,White,2012,Number,175100000,NA
US,United States,Medicaid/CHIP,White,2012,Number,15735262,NA
US,United States,Medicaid/CHIP,White,2012,Percent,0.08061,7.09e-4
US,United States,Medicare,White,2012,Number,36993319,NA
US,United States,Medicare,White,2012,Percent,0.18951,2.51e-4
US,United States,Private,White,2012,Number,122300000,NA
US,United States,Private,White,2012,Percent,0.6267,0.001258
US,United States,Public,White,2012,Number,52728581,NA
US,United States,Public,White,2012,Percent,0.27012,7.44e-4
US,United States,Uninsured,White,2012,Percent,0.10318,9.12e-4
US,United States,Uninsured,White,2012,Number,20141045,NA
US,United States,Employer,African-American / Black,2013,Percent,0.43001,0.002974
US,United States,Employer,African-American / Black,2013,Number,16225345,NA
US,United States,Individual,African-American / Black,2013,Percent,0.02794,0.001052
US,United States,Individual,African-American / Black,2013,Number,1054446,NA
US,United States,Insured,African-American / Black,2013,Percent,0.8301,0.001884
US,United States,Insured,African-American / Black,2013,Number,31322008,NA
US,United States,Medicaid/CHIP,African-American / Black,2013,Percent,0.24404,0.002507
US,United States,Medicaid/CHIP,African-American / Black,2013,Number,9208488,NA
US,United States,Medicare,African-American / Black,2013,Percent,0.1281,0.001015
US,United States,Medicare,African-American / Black,2013,Number,4833729,NA
US,United States,Private,African-American / Black,2013,Percent,0.45795,0.002864
US,United States,Private,African-American / Black,2013,Number,17279791,NA
US,United States,Public,African-American / Black,2013,Percent,0.37215,0.002674
US,United States,Public,African-American / Black,2013,Number,14042217,NA
US,United States,Uninsured,African-American / Black,2013,Percent,0.1699,0.001884
US,United States,Uninsured,African-American / Black,2013,Number,6410897,NA
US,United States,Employer,American Indian / Alaska Native,2013,Number,690907,NA
US,United States,Employer,American Indian / Alaska Native,2013,Percent,0.33929,0.008551
US,United States,Individual,American Indian / Alaska Native,2013,Percent,0.02657,0.003425
US,United States,Individual,American Indian / Alaska Native,2013,Number,54104,NA
US,United States,Insured,American Indian / Alaska Native,2013,Number,1474088,NA
US,United States,Insured,American Indian / Alaska Native,2013,Percent,0.7239,0.007725
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2013,Percent,0.23549,0.008259
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2013,Number,479522,NA
US,United States,Medicare,American Indian / Alaska Native,2013,Number,249555,NA
US,United States,Medicare,American Indian / Alaska Native,2013,Percent,0.12255,0.005319
US,United States,Private,American Indian / Alaska Native,2013,Percent,0.36586,0.008786
US,United States,Private,American Indian / Alaska Native,2013,Number,745011,NA
US,United States,Public,American Indian / Alaska Native,2013,Number,729077,NA
US,United States,Public,American Indian / Alaska Native,2013,Percent,0.35804,0.008856
US,United States,Uninsured,American Indian / Alaska Native,2013,Percent,0.2761,0.007725
US,United States,Uninsured,American Indian / Alaska Native,2013,Number,562222,NA
US,United States,Employer,Asian,2013,Number,8879265,NA
US,United States,Employer,Asian,2013,Percent,0.56267,0.00485
US,United States,Individual,Asian,2013,Percent,0.08933,0.002347
US,United States,Individual,Asian,2013,Number,1409627,NA
US,United States,Insured,Asian,2013,Number,13502393,NA
US,United States,Insured,Asian,2013,Percent,0.85563,0.003916
US,United States,Medicaid/CHIP,Asian,2013,Number,1543686,NA
US,United States,Medicaid/CHIP,Asian,2013,Percent,0.09782,0.002613
US,United States,Medicare,Asian,2013,Percent,0.10581,0.001367
US,United States,Medicare,Asian,2013,Number,1669815,NA
US,United States,Private,Asian,2013,Number,10288892,NA
US,United States,Private,Asian,2013,Percent,0.65199,0.004688
US,United States,Public,Asian,2013,Percent,0.20363,0.002536
US,United States,Public,Asian,2013,Number,3213501,NA
US,United States,Uninsured,Asian,2013,Percent,0.14437,0.003916
US,United States,Uninsured,Asian,2013,Number,2278314,NA
US,United States,Employer,Hispanic / Latino,2013,Number,19676461,NA
US,United States,Employer,Hispanic / Latino,2013,Percent,0.36858,0.003241
US,United States,Individual,Hispanic / Latino,2013,Number,1686708,NA
US,United States,Individual,Hispanic / Latino,2013,Percent,0.0316,9.74e-4
US,United States,Insured,Hispanic / Latino,2013,Number,38312697,NA
US,United States,Insured,Hispanic / Latino,2013,Percent,0.71767,0.002834
US,United States,Medicaid/CHIP,Hispanic / Latino,2013,Number,13165107,NA
