Indicator,Location,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,African-American / Black,2013,Percent,0.20809,0.0090944
US,United States,Asian / Pacific Islander,2013,Percent,0.19058,0.01153656
US,United States,Hispanic / Latino,2013,Percent,0.18399,0.00735392
US,United States,White,2013,Percent,0.23465,0.00416696
US,United States,Other / Multiple Races,2013,Percent,0.20053,0.016415
US,United States,African-American / Black,2014,Percent,0.20464,0.00903168
US,United States,Asian / Pacific Islander,2014,Percent,0.19806000000000001,0.01288504
US,United States,Hispanic / Latino,2014,Percent,0.18357,0.0075264
US,United States,White,2014,Percent,0.22695,0.00407876
US,United States,Other / Multiple Races,2014,Percent,0.19782,0.017700760000000003
US,United States,White,2015,Percent,0.22042,0.00492744
US,United States,African-American / Black,2015,Percent,0.1965,0.009388400000000002
US,United States,Asian / Pacific Islander,2015,Percent,0.18649,0.01333584
US,United States,Other / Multiple Races,2015,Percent,0.19143,0.01411788
US,United States,Hispanic / Latino,2015,Percent,0.1834,0.00796936
US,United States,African-American / Black,2016,Percent,0.20672,0.0101116402
US,United States,Asian / Pacific Islander,2016,Percent,0.17947,0.0118089998
US,United States,Hispanic / Latino,2016,Percent,0.19108,0.0071834
US,United States,Other / Multiple Races,2016,Percent,0.18567,0.0173009206
US,United States,White,2016,Percent,0.22486,0.0051018801
US,United States,African-American / Black,2017,Percent,0.203,0.00870044
US,United States,Asian / Pacific Islander,2017,Percent,0.18138,0.01154244
US,United States,Hispanic / Latino,2017,Percent,0.19317,0.00711676
US,United States,Other / Multiple Races,2017,Percent,0.2066,0.01684228
US,United States,White,2017,Percent,0.21364,0.0046942
17,Illinois,African-American / Black,2013,Percent,0.20464,0.0391412
17,Illinois,Asian / Pacific Islander,2013,Percent,0.24791,0.08746696
17,Illinois,Hispanic / Latino,2013,Percent,0.17651,0.0343196
17,Illinois,White,2013,Percent,0.23766,0.0206976
17,Illinois,Other / Multiple Races,2013,Percent,NA,NA
17,Illinois,African-American / Black,2014,Percent,0.23013,0.05680276
17,Illinois,Asian / Pacific Islander,2014,Percent,0.21745,0.07379008
17,Illinois,Hispanic / Latino,2014,Percent,0.25164,0.04370016
17,Illinois,White,2014,Percent,0.25138,0.02207548
17,Illinois,Other / Multiple Races,2014,Percent,0.3044,0.13227256
17,Illinois,White,2015,Percent,0.22459,0.02391788
17,Illinois,African-American / Black,2015,Percent,0.19691,0.0475398
17,Illinois,Asian / Pacific Islander,2015,Percent,0.2084,0.07450548
17,Illinois,Other / Multiple Races,2015,Percent,0.21316,0.1302028
17,Illinois,Hispanic / Latino,2015,Percent,0.23092,0.04144616
17,Illinois,African-American / Black,2016,Percent,0.23589,0.0558090396
17,Illinois,Asian / Pacific Islander,2016,Percent,0.20394,0.0650406405
17,Illinois,Hispanic / Latino,2016,Percent,0.25497,0.0410953201
17,Illinois,Other / Multiple Races,2016,Percent,NA,NA
17,Illinois,White,2016,Percent,0.23228,0.0234121997
17,Illinois,African-American / Black,2017,Percent,0.25182,0.05162444
17,Illinois,Asian / Pacific Islander,2017,Percent,0.20545,0.06749848
17,Illinois,Hispanic / Latino,2017,Percent,0.28364,0.051883160000000005
17,Illinois,Other / Multiple Races,2017,Percent,NA,NA
17,Illinois,White,2017,Percent,0.21587,0.02598176
