Indicator,Location,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,African-American / Black,2017,Percent,0.18645,0.00915908
US,United States,Asian / Pacific Islander,2017,Percent,0.16448,0.01127392
US,United States,Hispanic / Latino,2017,Percent,0.17445,0.00655815999999999
US,United States,Other / Multiple Races,2017,Percent,0.18597,0.01526252
US,United States,White,2017,Percent,0.20486,0.00405719999999999
US,United States,African-American / Black,2018,Percent,0.16851,0.00872395999999999
US,United States,Asian / Pacific Islander,2018,Percent,0.16424,0.0110544
US,United States,Hispanic / Latino,2018,Percent,0.16098,0.00678356
US,United States,Other / Multiple Races,2018,Percent,0.18298,0.0177125199999999
US,United States,White,2018,Percent,0.20301,0.00439432
US,United States,African-American / Black,2019,Percent,0.17523,0.009537360000000002
US,United States,Asian / Pacific Islander,2019,Percent,0.15553,0.01213436
US,United States,Hispanic / Latino,2019,Percent,0.15857,0.006958000000000001
US,United States,Other / Multiple Races,2019,Percent,0.17658,0.016565919999999998
US,United States,White,2019,Percent,0.1956,0.00440608
US,United States,African-American / Black,2021,Percent,0.16065,0.00865144
US,United States,Asian / Pacific Islander,2021,Percent,0.14446,0.0117992
US,United States,Hispanic / Latino,2021,Percent,0.15154,0.00681884
US,United States,Other / Multiple Races,2021,Percent,0.16471,0.01775564
US,United States,White,2021,Percent,0.17686,0.00431004
US,United States,African-American / Black,2022,Percent,0.15552,0.0097012678
US,United States,Asian / Pacific Islander,2022,Percent,0.12845,0.009723571100000002
US,United States,Hispanic / Latino,2022,Percent,0.14591,0.006857458
US,United States,Other / Multiple Races,2022,Percent,0.14625,0.0143463071
US,United States,White,2022,Percent,0.17412,0.0041763294
US,United States,African-American / Black,2020,Percent,0.16469,0.0084476
US,United States,Asian / Pacific Islander,2020,Percent,0.14349,0.01248912
US,United States,Hispanic / Latino,2020,Percent,0.15574,0.0065953999999999995
US,United States,Other / Multiple Races,2020,Percent,0.16294,0.01602692
US,United States,White,2020,Percent,0.18484,0.00386512
US,United States,African-American / Black,2023,Percent,0.14643,0.0092073083
US,United States,Asian / Pacific Islander,2023,Percent,0.1367,0.0115886601
US,United States,Hispanic / Latino,2023,Percent,0.13894,0.0063206116
US,United States,Other / Multiple Races,2023,Percent,0.16139,0.0159635004
US,United States,White,2023,Percent,0.16855,0.0046035312
US,United States,White,2024,Percent,0.16284,0.0047395015
US,United States,African-American / Black,2024,Percent,0.15215,0.0100050922
US,United States,Asian / Pacific Islander,2024,Percent,0.12768,0.011141357
US,United States,Other / Multiple Races,2024,Percent,0.13864,0.0140617881
US,United States,Hispanic / Latino,2024,Percent,0.13745,0.007042136
17,Illinois,White,2024,Percent,0.16607,0.030313326
17,Illinois,African-American / Black,2024,Percent,0.11425,0.0442732424
17,Illinois,Asian / Pacific Islander,2024,Percent,0.16374,0.0684586316
17,Illinois,Other / Multiple Races,2024,Percent,NA,NA
17,Illinois,Hispanic / Latino,2024,Percent,0.12354,0.0344772302
17,Illinois,African-American / Black,2020,Percent,0.13744,0.04357864
17,Illinois,Asian / Pacific Islander,2020,Percent,0.17184,0.06303752
17,Illinois,Hispanic / Latino,2020,Percent,0.20183,0.03905496
17,Illinois,Other / Multiple Races,2020,Percent,NA,NA
17,Illinois,White,2020,Percent,0.20485,0.02369836
17,Illinois,African-American / Black,2021,Percent,0.16852,0.050354359999999994
17,Illinois,Asian / Pacific Islander,2021,Percent,0.15314,0.05926648
17,Illinois,Hispanic / Latino,2021,Percent,0.22812,0.052724
17,Illinois,Other / Multiple Races,2021,Percent,0.23088,0.12471088
17,Illinois,White,2021,Percent,0.17015,0.02041536
17,Illinois,African-American / Black,2022,Percent,0.11744,0.0467020199
17,Illinois,Asian / Pacific Islander,2022,Percent,0.13117,0.0508546084
17,Illinois,Hispanic / Latino,2022,Percent,0.19515,0.0351654291
17,Illinois,Other / Multiple Races,2022,Percent,NA,NA
17,Illinois,White,2022,Percent,0.15898,0.0222410802
17,Illinois,African-American / Black,2023,Percent,0.11081,0.051685892
17,Illinois,Asian / Pacific Islander,2023,Percent,0.1844,0.0716285631
17,Illinois,Hispanic / Latino,2023,Percent,0.17124,0.0377740376
17,Illinois,Other / Multiple Races,2023,Percent,NA,NA
17,Illinois,White,2023,Percent,0.15797,0.0207520351
17,Illinois,African-American / Black,2019,Percent,0.19549,0.05044452
17,Illinois,Asian / Pacific Islander,2019,Percent,0.17359,0.06726328
17,Illinois,Hispanic / Latino,2019,Percent,0.16304,0.03606204
17,Illinois,Other / Multiple Races,2019,Percent,NA,NA
17,Illinois,White,2019,Percent,0.20173,0.024374559999999997
17,Illinois,African-American / Black,2017,Percent,0.26117,0.0555973599999999
17,Illinois,Asian / Pacific Islander,2017,Percent,0.17546,0.06322764
17,Illinois,Hispanic / Latino,2017,Percent,0.25495,0.04090912
17,Illinois,Other / Multiple Races,2017,Percent,NA,NA
17,Illinois,White,2017,Percent,0.21517,0.023324
17,Illinois,African-American / Black,2018,Percent,0.2002,0.0450388399999999
17,Illinois,Asian / Pacific Islander,2018,Percent,0.19233,0.06167532
17,Illinois,Hispanic / Latino,2018,Percent,0.20612,0.0393332799999999
17,Illinois,Other / Multiple Races,2018,Percent,NA,NA
17,Illinois,White,2018,Percent,0.21587,0.0272734
